,id,createdTime,Company,Location HQ,Industry,# Laid Off,Date,Source,$ Raised (mm),Stage,Date Added,Country,%,List of Employees Laid Off
0,recMLtLMS7rdqtRRC,2024-02-24T01:34:17.000Z,Redesign Health,New York City,Healthcare,77.0,2024-02-23T00:00:00.000Z,https://www.crainsnewyork.com/health-pulse/union-square-based-redesign-health-cuts-staff-slows-startup-creation,315.0,Series C,2024-02-24T01:34:17.000Z,United States,,
1,recVvAOCTNB0crBCw,2024-02-24T01:33:51.000Z,Carbon Health,SF Bay Area,Healthcare,56.0,2024-02-23T00:00:00.000Z,https://www.sfchronicle.com/bayarea/article/bay-area-layoffs-carbon-health-18684600.php,522.0,Series D,2024-02-24T01:33:51.000Z,United States,,
2,recltW5OETeb1DM3o,2024-02-24T01:55:05.000Z,Vice Media,New York City,Media,,2024-02-22T00:00:00.000Z,https://www.nytimes.com/2024/02/22/business/vice-media-layoffs.html,1600.0,Unknown,2024-02-24T01:55:05.000Z,United States,,
3,recE1HenHF7zzgPYB,2024-02-22T05:51:24.000Z,Affirm,Pittsburgh,Finance,60.0,2024-02-21T00:00:00.000Z,https://bnnbreaking.com/finance-nav/affirms-pittsburgh-layoffs-a-tale-of-corporate-strategy-and-employee-impact,1500.0,Post-IPO,2024-02-22T05:51:24.000Z,United States,,
4,recSf9an9yqAS1cUM,2024-02-22T05:50:06.000Z,Finder,Sydney Non-U.S.,Retail,60.0,2024-02-21T00:00:00.000Z,https://www.startupdaily.net/topic/business/finder-cuts-staffing-for-the-3rd-time-in-a-year-shedding-60-jobs/,30.0,Unknown,2024-02-22T05:50:06.000Z,Australia,0.17,
5,reccXApFOkXiHwf5v,2024-02-23T00:21:23.000Z,BuzzFeed,New York City,Media,,2024-02-21T00:00:00.000Z,https://variety.com/2024/digital/news/buzzfeed-sells-complex-ntwrk-layoffs-1235918498/,696.0,Post-IPO,2024-02-23T00:21:23.000Z,United States,0.16,
6,rec8bamFdsAAUQbEK,2024-02-22T05:47:27.000Z,Rivian,Detroit,Transportation,,2024-02-21T00:00:00.000Z,https://techcrunch.com/2024/02/21/rivian-lays-off-10-of-workforce-as-ev-pricing-pressure-mounts/,10700.0,Post-IPO,2024-02-22T05:47:27.000Z,United States,0.1,
7,recCsKUkzw7jqGDmk,2024-02-21T04:22:36.000Z,Aptiv,Krakow Non-U.S.,Transportation,250.0,2024-02-20T00:00:00.000Z,"https://wyborcza.biz/biznes/7,159911,30719165,w-pol-godziny-zwolnili-250-osob-dostal-godzine-na-spakowanie.html?disableRedirects=true",8.0,Post-IPO,2024-02-21T04:22:36.000Z,Poland,,
8,rec5g3DvX3dCnN2d2,2024-02-21T04:25:14.000Z,Tails.com,London Non-U.S.,Retail,55.0,2024-02-20T00:00:00.000Z,https://www.businessinsider.com/tails-com-is-laying-off-25-percent-of-staffers-2024-2,5.0,Series A,2024-02-21T04:25:14.000Z,United Kingdom,0.25,
9,recoYAoM45voHmN3k,2024-02-21T04:26:50.000Z,KnownOrigin,Manchester Non-U.S.,Crypto,,2024-02-20T00:00:00.000Z,https://crypto.news/ebay-reportedly-laid-off-staff-at-nft-marketplace-knownorigin-it-acquired-in-2022/,3.0,Acquired,2024-02-21T04:26:50.000Z,United Kingdom,0.3,
10,reczXTZdwIgrDoi47,2024-02-21T04:28:42.000Z,Meati,Boulder,Food,,2024-02-20T00:00:00.000Z,https://techcrunch.com/2024/02/20/meati-foods-cuts-workforce-amid-ceo-shift/,274.0,Series C,2024-02-21T04:28:42.000Z,United States,0.3,
11,recp4SYIr1ZZIXxBy,2024-02-16T18:39:00.000Z,Farfetch,London Non-U.S.,Retail,2000.0,2024-02-16T00:00:00.000Z,https://www.drapersonline.com/news/farfetch-to-cut-up-to-30-jobs,1700.0,Acquired,2024-02-16T18:39:00.000Z,United Kingdom,0.25,
12,recADAPN1L0e0UchA,2024-02-20T02:39:51.000Z,Voi,Stockholm Non-U.S.,Transportation,120.0,2024-02-16T00:00:00.000Z,https://sifted.eu/articles/voi-layoffs-news,515.0,Series D,2024-02-20T02:39:51.000Z,United States,0.12,
13,recrgeBBOI5JjmUv9,2024-02-15T16:48:04.000Z,Toast,Boston,Food,550.0,2024-02-15T00:00:00.000Z,https://www.bloomberg.com/news/articles/2024-02-15/toast-layoffs-to-impact-hundreds-at-restaurant-tech-company?embedded-checkout=true,962.0,Post-IPO,2024-02-15T16:48:04.000Z,United States,0.1,
14,recFnLlQIdN4KER1O,2024-02-21T05:22:49.000Z,Sonder,SF Bay Area,Travel,106.0,2024-02-15T00:00:00.000Z,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/1819395/000181939524000007/son-20240215.htm,839.0,Post-IPO,2024-02-21T05:22:49.000Z,United States,0.17,
15,recSyz0wz3ZWuh06G,2024-02-16T18:37:24.000Z,Storytel,Stockholm Non-U.S.,Consumer,80.0,2024-02-15T00:00:00.000Z,https://investors.storytel.com/en/wp-content/uploads/sites/2/2024/02/presentation-q4-report-2023.pdf,312.0,Post-IPO,2024-02-16T18:37:24.000Z,Sweden,0.13,
