,#,Company,Location_HQ,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in_$_mil,Year,lat,lng,Funding
0,3,ShareChat,Bengaluru,India,Asia,200,2023-12-20,15.0,1333,1133,Consumer,Series H,$1700,2023,12.97194,77.59369,1700.0
1,4,InSightec,Haifa,Israel,Asia,100,2023-12-19,20.0,500,400,Healthcare,Unknown,$733,2023,32.81841,34.9885,733.0
2,6,Enphase Energy,San Francisco Bay Area,USA,North America,350,2023-12-18,10.0,3500,3150,Energy,Post-IPO,$116,2023,37.54827,-121.98857,116.0
3,7,Udaan,Bengaluru,India,Asia,100,2023-12-18,10.0,1000,900,Retail,Unknown,1500,2023,12.97194,77.59369,500.0
4,14,Cruise,San Francisco Bay Area,USA,North America,900,2023-12-14,24.0,3750,2850,Transportation,Acquired,$15000,2023,37.77493,-122.41942,15000.0
5,16,Bolt,San Francisco Bay Area,USA,North America,130,2023-12-14,29.0,450,320,Finance,Series E,$1300,2023,37.77493,-122.41942,1300.0
6,20,Invitae,San Francisco Bay Area,USA,North America,235,2023-12-13,15.0,1567,1332,Healthcare,Post-IPO,2500,2023,37.77493,-122.41942,500.0
7,21,Etsy,New York City,USA,North America,225,2023-12-13,11.0,2045,1820,Retail,Post-IPO,$97,2023,40.71427,-74.00597,97.0
8,27,Chipper Cash,San Francisco Bay Area,USA,North America,15,2023-12-11,33.0,45,30,Finance,Series C,$302,2023,37.77493,-122.41942,302.0
9,31,Zulily,Seattle,USA,North America,839,2023-12-08,100.0,839,0,Retail,Acquired,$194,2023,47.60621,-122.33207,194.0
10,37,ZestMoney,Bengaluru,India,Asia,150,2023-12-05,100.0,150,0,Finance,Series C,$120,2023,12.97194,77.59369,120.0
11,38,Navan,San Francisco Bay Area,USA,North America,145,2023-12-05,5.0,2900,2755,Finance,Unknown,2200,2023,37.44188,-122.14302,200.0
12,39,Incredibuild,Tel Aviv,Israel,Asia,40,2023-12-05,20.0,200,160,Product,Series B,$35,2023,32.08088,34.78057,35.0
13,44,Spotify,Stockholm,Sweden,Europe,1500,2023-12-04,17.0,9200,7700,Media,Post-IPO,$2100,2023,59.32938,18.06871,2100.0
14,50,Loco,Mumbai,India,Asia,40,2023-11-30,36.0,111,71,Consumer,Acquired,$52,2023,19.07283,72.88261,52.0
15,51,Zepz,London,United Kingdom,Europe,30,2023-11-30,2.0,1500,1470,Finance,Series E,$700,2023,51.50853,-0.12574,700.0
16,56,Unity,San Francisco Bay Area,USA,North America,265,2023-11-28,4.0,6625,6360,Other,Post-IPO,$1300,2023,37.77493,-122.41942,1300.0
17,57,Dataminr,New York City,USA,North America,150,2023-11-28,20.0,750,600,AI,Series F,$1100,2023,40.71427,-74.00597,1100.0
18,62,Our Next Energy,Detroit,USA,North America,128,2023-11-27,25.0,512,384,Transportation,Series B,$390,2023,42.33143,-83.04575,390.0
19,70,Physics Wallah,Noida,India,Asia,120,2023-11-19,1.0,12000,11880,Education,Series A,$100,2023,8.49615,77.53601,100.0
20,91,TripAdvisor,Boston,USA,North America,125,2023-11-12,4.0,3125,3000,Travel,Post-IPO,$3,2023,42.35843,-71.05977,3.0
21,110,Viasat,San Diego,USA,North America,800,2023-11-02,10.0,8000,7200,Other,Post-IPO,$366,2023,32.71571,-117.16472,366.0
22,111,Beyond Meat,Los Angeles,USA,North America,65,2023-11-02,8.0,813,748,Food,Post-IPO,$122,2023,34.05223,-118.24368,122.0
23,115,Splunk,San Francisco Bay Area,USA,North America,500,2023-11-01,7.0,7143,6643,Data,Post-IPO,$2400,2023,37.77493,-122.41942,2400.0
24,116,Faire,San Francisco Bay Area,USA,North America,250,2023-11-01,20.0,1250,1000,Retail,Series G,$1700,2023,37.77493,-122.41942,1700.0
25,117,Sana Benefits,Austin,USA,North America,73,2023-11-01,50.0,146,73,HR,Series B,$106,2023,30.26715,-97.74306,106.0
26,122,Hippo Insurance,San Francisco Bay Area,USA,North America,120,2023-10-26,20.0,600,480,Finance,Post-IPO,$1300,2023,37.44188,-122.14302,1300.0
27,130,SiFive,San Francisco Bay Area,USA,North America,130,2023-10-24,20.0,650,520,Hardware,Series F,$365,2023,37.35411,-121.95524,365.0
28,135,Nomad Health,New York City,USA,North America,119,2023-10-20,17.0,700,581,Healthcare,Unknown,$218,2023,40.71427,-74.00597,218.0
29,138,Convoy,Seattle,USA,North America,500,2023-10-19,100.0,500,0,Logistics,Series E,$1100,2023,47.60621,-122.33207,1100.0
30,139,Bullhorn,Boston,USA,North America,140,2023-10-19,9.0,1556,1416,Sales,Acquired,$32,2023,42.35843,-71.05977,32.0
31,141,StellarAlgo,Calgary,Canada,North America,21,2023-10-19,28.0,75,54,Data,Series A,$16,2023,51.05011,-114.08529,16.0
32,142,ManoMano,Paris,France,Europe,230,2023-10-18,25.0,920,690,Retail,Series F,$705,2023,48.85341,2.3488,705.0
33,144,WeTranSan Franciscoer,Amsterdam,Netherlands,Europe,35,2023-10-18,10.0,350,315,Other,Series A,$64,2023,52.37403,4.88969,64.0
34,151,LinkedIn,San Francisco Bay Area,USA,North America,660,2023-10-16,3.0,22000,21340,Recruiting,Acquired,$154,2023,37.36883,-122.03635,154.0
